_id,data.downtime_status,data.gateway_time,data.machine_id,data.machine_status,data.shot_count,Unnamed: 6,data.shot_status,data.status,updated_on,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Date,Time
665e7c3b723d15cf5fe2e6d3,False,04-06-2024 08:00,1,True,1,,1,Active,2024-06-04 08:00:19.525,,,,1142526.0,2406.0,2024-10-30,08:00:19 AM
665e7c5e723d15cf5fe2e6d6,False,04-06-2024 08:00,1,True,2,1.0,1,Active,2024-06-04 08:00:54.610,,,,,,2024-10-30,08:00:54 AM
665e7c82723d15cf5fe2e6d8,False,04-06-2024 08:01,1,True,3,1.0,1,Active,2024-06-04 08:01:30.185,,,,,,2024-10-30,08:01:30 AM
665e7ca5723d15cf5fe2e6dc,False,04-06-2024 08:02,1,True,4,1.0,1,Active,2024-06-04 08:02:05.275,,,,,,2024-10-30,08:02:05 AM
665e7cc3723d15cf5fe2e6de,False,04-06-2024 08:02,1,True,5,1.0,1,Active,2024-06-04 08:02:35.842,,,,,,2024-10-30,08:02:35 AM
665e7ce3723d15cf5fe2e6e1,False,04-06-2024 08:03,1,True,6,1.0,1,Active,2024-06-04 08:03:07.446,,,,,,2024-10-30,08:03:07 AM
665e7d03723d15cf5fe2e6e3,False,04-06-2024 08:03,1,True,7,1.0,1,Active,2024-06-04 08:03:39.531,,,,,,2024-10-30,08:03:39 AM
665e7d22723d15cf5fe2e6e5,False,04-06-2024 08:04,1,True,8,1.0,1,Active,2024-06-04 08:04:10.101,,,,,,2024-10-30,08:04:10 AM
665e7d41723d15cf5fe2e6e8,False,04-06-2024 08:04,1,True,9,1.0,1,Active,2024-06-04 08:04:41.689,,,,,,2024-10-30,08:04:41 AM
665e7d62723d15cf5fe2e6ea,False,04-06-2024 08:05,1,True,10,1.0,1,Active,2024-06-04 08:05:14.756,,,,,,2024-10-30,08:05:14 AM
665e7d80723d15cf5fe2e6ec,False,04-06-2024 08:05,1,True,11,1.0,1,Active,2024-06-04 08:05:44.826,,,,,,2024-10-30,08:05:44 AM
665e7da1723d15cf5fe2e6ef,False,04-06-2024 08:06,1,True,12,1.0,1,Active,2024-06-04 08:06:17.420,,,,,,2024-10-30,08:06:17 AM
665e7dbf723d15cf5fe2e6f2,False,04-06-2024 08:06,1,True,13,1.0,1,Active,2024-06-04 08:06:47.490,,,,,,2024-10-30,08:06:47 AM
665e7ddf723d15cf5fe2e6f4,False,04-06-2024 08:07,1,True,14,1.0,1,Active,2024-06-04 08:07:19.057,,,,,,2024-10-30,08:07:19 AM
665e7dfe723d15cf5fe2e6f6,False,04-06-2024 08:07,1,True,15,1.0,1,Active,2024-06-04 08:07:50.131,,,,,,2024-10-30,08:07:50 AM
665e7e1d723d15cf5fe2e6f9,False,04-06-2024 08:08,1,True,16,1.0,1,Active,2024-06-04 08:08:21.257,,,,,,2024-10-30,08:08:21 AM
665e7e3c723d15cf5fe2e6fb,False,04-06-2024 08:08,1,True,17,1.0,1,Active,2024-06-04 08:08:52.310,,,,,,2024-10-30,08:08:52 AM
665e7e5a723d15cf5fe2e6fd,False,04-06-2024 08:09,1,True,18,1.0,1,Active,2024-06-04 08:09:22.887,,,,,,2024-10-30,08:09:22 AM
665e7e79723d15cf5fe2e701,False,04-06-2024 08:09,1,True,19,1.0,1,Active,2024-06-04 08:09:53.447,,,,,,2024-10-30,08:09:53 AM
665e7e97723d15cf5fe2e703,False,04-06-2024 08:10,1,True,20,1.0,1,Active,2024-06-04 08:10:23.530,,,,,,2024-10-30,08:10:23 AM
665e7eb6723d15cf5fe2e706,False,04-06-2024 08:10,1,True,21,1.0,1,Active,2024-06-04 08:10:54.092,,,,,,2024-10-30,08:10:54 AM
665e7ed9723d15cf5fe2e70a,False,04-06-2024 08:11,1,True,22,1.0,1,Active,2024-06-04 08:11:29.177,,,,,,2024-10-30,08:11:29 AM
665e7ef7723d15cf5fe2e70c,False,04-06-2024 08:11,1,True,23,1.0,1,Active,2024-06-04 08:11:59.762,,,,,,2024-10-30,08:11:59 AM
665e7f16723d15cf5fe2e70f,False,04-06-2024 08:12,1,True,24,1.0,1,Active,2024-06-04 08:12:30.847,,,,,,2024-10-30,08:12:30 AM
665e7f35723d15cf5fe2e711,False,04-06-2024 08:13,1,True,25,1.0,1,Active,2024-06-04 08:13:01.443,,,,,,2024-10-30,08:13:01 AM
